packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
1434,1739284573.824036,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,7543,4469,266240,24,443,51377,0.00026798248291015625,21,10084,21,0,,,Unknown
54,1739284573.824052,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,8923,131072,16,51377,443,1.621246337890625e-05,17,2712,17,0,,,Unknown
1434,1739284573.826248,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,8923,4469,266240,24,443,51377,0.0011138916015625,22,11518,22,0,,,Unknown
54,1739284573.826299,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,10303,131072,16,51377,443,5.1021575927734375e-05,18,2766,18,1,,,Unknown
1434,1739284573.827553,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,10303,4469,266240,16,443,51377,0.0012540817260742188,23,12952,23,0,,,Unknown
1035,1739284573.827553,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,11683,4469,266240,24,443,51377,0.0,24,13987,24,0,,,Unknown
54,1739284573.827605,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,12664,131072,16,51377,443,5.1975250244140625e-05,19,2820,19,1,,,Unknown
1434,1739284573.829574,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,12664,4469,266240,16,443,51377,0.0019690990447998047,25,15421,25,0,,,Unknown
217,1739284573.829574,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,14044,4469,266240,24,443,51377,0.0,26,15638,26,0,,,Unknown
54,1739284573.829654,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,14207,131072,16,51377,443,7.987022399902344e-05,20,2874,20,1,,,Unknown
1434,1739284573.830891,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,14207,4469,266240,16,443,51377,0.0012369155883789062,27,17072,27,0,,,Unknown
1434,1739284573.830891,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,15587,4469,266240,24,443,51377,0.0,28,18506,28,0,,,Unknown
54,1739284573.83096,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,16967,131072,16,51377,443,6.914138793945312e-05,21,2928,21,1,,,Unknown
1434,1739284573.833548,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,16967,4469,266240,16,443,51377,0.0014650821685791016,29,19940,29,0,,,Unknown
1434,1739284573.833548,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,18347,4469,266240,24,443,51377,0.0,30,21374,30,0,,,Unknown
54,1739284573.833596,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,19727,131072,16,51377,443,4.792213439941406e-05,22,2982,22,1,,,Unknown
1434,1739284573.835935,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,19727,4469,266240,16,443,51377,0.0023391246795654297,31,22808,31,0,,,Unknown
1434,1739284573.835935,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,21107,4469,266240,24,443,51377,0.0,32,24242,32,0,,,Unknown
54,1739284573.835994,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,22487,131072,16,51377,443,5.888938903808594e-05,23,3036,23,1,,,Unknown
1434,1739284573.838235,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,22487,4469,266240,16,443,51377,0.002240896224975586,33,25676,33,0,,,Unknown
1434,1739284573.838235,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,23867,4469,266240,24,443,51377,0.0,34,27110,34,0,,,Unknown
54,1739284573.838262,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,25247,131072,16,51377,443,2.7179718017578125e-05,24,3090,24,1,,,Unknown
1434,1739284573.841518,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,25247,4469,266240,16,443,51377,0.0032558441162109375,35,28544,35,0,,,Unknown
1434,1739284573.841518,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,26627,4469,266240,24,443,51377,0.0,36,29978,36,0,,,Unknown
54,1739284573.841546,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,28007,131072,16,51377,443,2.8133392333984375e-05,25,3144,25,1,,,Unknown
56,1739284573.854439,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,9203,4975,265216,16,443,51376,0.012892961502075195,18,10196,18,0,,,Unknown
56,1739284573.85654,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,28007,4504,266240,16,443,51377,0.0021009445190429688,37,30034,37,0,,,Unknown
1434,1739284573.861078,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,28007,4504,266240,16,443,51377,0.004538059234619141,38,31468,38,1,,,Unknown
1434,1739284573.861078,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,29387,4504,266240,24,443,51377,0.0,39,32902,39,0,,,Unknown
54,1739284573.861168,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,30767,131072,16,51377,443,8.988380432128906e-05,26,3198,26,1,,,Unknown
1434,1739284573.861864,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,30767,4504,266240,16,443,51377,0.0006961822509765625,40,34336,40,0,,,Unknown
1434,1739284573.861864,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,32147,4504,266240,24,443,51377,0.0,41,35770,41,0,,,Unknown
54,1739284573.861956,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,33527,131072,16,51377,443,9.179115295410156e-05,27,3252,27,1,,,Unknown
1434,1739284573.864069,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,33527,4504,266240,16,443,51377,0.0021131038665771484,42,37204,42,0,,,Unknown
1434,1739284573.864069,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,34907,4504,266240,24,443,51377,0.0,43,38638,43,0,,,Unknown
54,1739284573.864136,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,36287,131072,16,51377,443,6.699562072753906e-05,28,3306,28,1,,,Unknown
1434,1739284573.867338,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,36287,4504,266240,16,443,51377,0.0032019615173339844,44,40072,44,0,,,Unknown
1434,1739284573.867338,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,37667,4504,266240,24,443,51377,0.0,45,41506,45,0,,,Unknown
54,1739284573.867444,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,4543,39047,131072,16,51377,443,0.00010609626770019531,29,3360,29,1,,,Unknown
56,1739284573.868381,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,9203,4976,265216,17,443,51376,0.0,19,10252,19,1,,,Unknown
54,1739284573.868493,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,4976,9204,130816,16,51376,443,0.00011205673217773438,15,3036,15,0,,,Unknown
